normalized_page_path,normalized_page_url,current_gsc_clicks,previous_gsc_clicks,current_gsc_impressions,previous_gsc_impressions,current_ga4_sessions,previous_ga4_sessions,current_ga4_conversions,previous_ga4_conversions,click_delta,impression_delta,sessions_delta,conversions_delta,mover_score,movement_direction
/blog/amy-smart-carter-oosterhouse,https://international-surrogacy.com/blog/amy-smart-carter-oosterhouse,2.0,6.0,701.0,1221.0,2.0,3.0,0.0,0.0,-4.0,-520.0,-1.0,0.0,-53.9,down
/blog/infertility-after-abortion,https://international-surrogacy.com/blog/infertility-after-abortion,2.0,2.0,1078.0,550.0,0.0,3.0,0.0,0.0,0.0,528.0,-3.0,0.0,51.900000000000006,up
/us,https://international-surrogacy.com/us,7.0,5.0,1461.0,1154.0,15.0,24.0,3.0,1.0,2.0,307.0,-9.0,2.0,48.800000000000004,up
/blog/baby-names-that-mean-love,https://international-surrogacy.com/blog/baby-names-that-mean-love,3.0,3.0,2182.0,2670.0,2.0,1.0,0.0,0.0,0.0,-488.0,1.0,0.0,-48.50000000000001,down
/blog/safety-ukraine-2026,https://international-surrogacy.com/blog/safety-ukraine-2026,0.0,0.0,38.0,267.0,0.0,7.0,0.0,2.0,0.0,-229.0,-7.0,-2.0,-45.0,down
/blog/ethical-considerations-in-surrogacy,https://international-surrogacy.com/blog/ethical-considerations-in-surrogacy,1.0,0.0,312.0,751.0,5.0,3.0,0.0,0.0,1.0,-439.0,2.0,0.0,-42.900000000000006,down
/blog/top-5-tv-shows-exploring-surrogacy,https://international-surrogacy.com/blog/top-5-tv-shows-exploring-surrogacy,2.0,0.0,448.0,41.0,5.0,3.0,0.0,0.0,2.0,407.0,2.0,0.0,42.1,up
/blog/kim-kardashian-and-kanye-west,https://international-surrogacy.com/blog/kim-kardashian-and-kanye-west,0.0,1.0,365.0,775.0,0.0,0.0,0.0,0.0,-1.0,-410.0,0.0,0.0,-41.4,down
/blog/blamed-women-for-infertility-286,https://international-surrogacy.com/blog/blamed-women-for-infertility-286,0.0,2.0,104.0,485.0,0.0,7.0,0.0,0.0,-2.0,-381.0,-7.0,0.0,-41.0,down
/success-stories/reviews-of-ukraine,https://international-surrogacy.com/success-stories/reviews-of-ukraine,0.0,0.0,112.0,110.0,9.0,7.0,7.0,3.0,0.0,2.0,2.0,4.0,40.8,up
/blog/female-infertility,https://international-surrogacy.com/blog/female-infertility,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,-1.0,2.0,4.0,40.5,up
/blog/fresh-vs-frozen-donor-eggs-biological-truth,https://international-surrogacy.com/blog/fresh-vs-frozen-donor-eggs-biological-truth,0.0,0.0,0.0,42.0,0.0,19.0,0.0,3.0,0.0,-42.0,-19.0,-3.0,-39.9,down
/blog/10-common-questions-about-egg-donation,https://international-surrogacy.com/blog/10-common-questions-about-egg-donation,0.0,0.0,17.0,408.0,0.0,0.0,0.0,0.0,0.0,-391.0,0.0,0.0,-39.1,down
/blog/will-my-baby-look-like-me-using-donor-eggs,https://international-surrogacy.com/blog/will-my-baby-look-like-me-using-donor-eggs,2.0,2.0,1141.0,757.0,5.0,4.0,0.0,0.0,0.0,384.0,1.0,0.0,38.7,up
/blog/lucy-liu-opens-up-about-her-journey-to-motherhood-via-a-surrogate,https://international-surrogacy.com/blog/lucy-liu-opens-up-about-her-journey-to-motherhood-via-a-surrogate,3.0,1.0,320.0,711.0,3.0,1.0,0.0,0.0,2.0,-391.0,2.0,0.0,-37.7,down
/blog/single-father-surrogacy-ghana,https://international-surrogacy.com/blog/single-father-surrogacy-ghana,0.0,0.0,876.0,1227.0,5.0,11.0,0.0,0.0,0.0,-351.0,-6.0,0.0,-36.9,down
/blog/do-surrogate-mothers-have-parental-rights,https://international-surrogacy.com/blog/do-surrogate-mothers-have-parental-rights,2.0,1.0,423.0,795.0,2.0,1.0,0.0,0.0,1.0,-372.0,1.0,0.0,-36.50000000000001,down
/blog/the-surrogate-mother-experience-a-journey-of-hope-and-fulfillment,https://international-surrogacy.com/blog/the-surrogate-mother-experience-a-journey-of-hope-and-fulfillment,0.0,0.0,112.0,470.0,0.0,1.0,0.0,0.0,0.0,-358.0,-1.0,0.0,-36.1,down
/blog/being-a-surrogate-for-a-family-member,https://international-surrogacy.com/blog/being-a-surrogate-for-a-family-member,3.0,3.0,1558.0,1903.0,2.0,5.0,0.0,0.0,0.0,-345.0,-3.0,0.0,-35.4,down
/blog/ukraine-vs-georgia-surrogacy-exit-risks,https://international-surrogacy.com/blog/ukraine-vs-georgia-surrogacy-exit-risks,2.0,0.0,283.0,0.0,12.0,0.0,0.0,0.0,2.0,283.0,12.0,0.0,32.7,up
/us/surrogacy-law-in-ukraine,https://international-surrogacy.com/us/surrogacy-law-in-ukraine,2.0,0.0,570.0,911.0,8.0,5.0,0.0,0.0,2.0,-341.0,3.0,0.0,-32.400000000000006,down
/blog/genetic-connections-of-a-child-in-a-surrogacy-program,https://international-surrogacy.com/blog/genetic-connections-of-a-child-in-a-surrogacy-program,0.0,1.0,329.0,757.0,3.0,0.0,1.0,0.0,-1.0,-428.0,3.0,1.0,-32.300000000000004,down
/blog/her-body-my-baby,https://international-surrogacy.com/blog/her-body-my-baby,1.0,0.0,378.0,673.0,2.0,8.0,0.0,0.0,1.0,-295.0,-6.0,0.0,-30.900000000000002,down
/blog/anderson-hays-cooper,https://international-surrogacy.com/blog/anderson-hays-cooper,1.0,7.0,159.0,427.0,2.0,6.0,0.0,0.0,-6.0,-268.0,-4.0,0.0,-30.400000000000002,down
/blog/fredrik-eklund,https://international-surrogacy.com/blog/fredrik-eklund,2.0,6.0,263.0,528.0,3.0,10.0,0.0,0.0,-4.0,-265.0,-7.0,0.0,-30.200000000000003,down
/blog/michelle-buteau-encouraged-surrogacy,https://international-surrogacy.com/blog/michelle-buteau-encouraged-surrogacy,10.0,5.0,563.0,316.0,14.0,6.0,0.0,0.0,5.0,247.0,8.0,0.0,29.1,up
/blog/michelle-obama-s-ivf-story,https://international-surrogacy.com/blog/michelle-obama-s-ivf-story,0.0,0.0,531.0,791.0,2.0,2.0,0.0,0.0,0.0,-260.0,0.0,0.0,-26.0,down
/blog/surrogacy-for-uterine-factor-infertility,https://international-surrogacy.com/blog/surrogacy-for-uterine-factor-infertility,1.0,0.0,203.0,0.0,13.0,0.0,0.0,0.0,1.0,203.0,13.0,0.0,24.599999999999998,up
/blog/embryo-transportation,https://international-surrogacy.com/blog/embryo-transportation,2.0,1.0,609.0,858.0,3.0,3.0,0.0,0.0,1.0,-249.0,0.0,0.0,-24.500000000000004,down
/blog/the-hidden-costs-of-surrogacy,https://international-surrogacy.com/blog/the-hidden-costs-of-surrogacy,1.0,2.0,474.0,707.0,3.0,4.0,0.0,0.0,-1.0,-233.0,-1.0,0.0,-24.0,down
/blog/ellen-kathleen-pompeo,https://international-surrogacy.com/blog/ellen-kathleen-pompeo,5.0,4.0,1100.0,1341.0,10.0,9.0,0.0,0.0,1.0,-241.0,1.0,0.0,-23.400000000000002,down
/blog/siobhan-marshall,https://international-surrogacy.com/blog/siobhan-marshall,0.0,0.0,54.0,283.0,0.0,0.0,0.0,0.0,0.0,-229.0,0.0,0.0,-22.900000000000002,down
/donor-database,https://international-surrogacy.com/donor-database,2.0,0.0,947.0,740.0,6.0,2.0,0.0,0.0,2.0,207.0,4.0,0.0,22.700000000000003,up
/how-it-works,https://international-surrogacy.com/how-it-works,0.0,0.0,699.0,501.0,11.0,2.0,0.0,0.0,0.0,198.0,9.0,0.0,22.5,up
/blog/vs-single-embryo-transfers,https://international-surrogacy.com/blog/vs-single-embryo-transfers,0.0,1.0,120.0,141.0,5.0,4.0,0.0,2.0,-1.0,-21.0,1.0,-2.0,-22.2,down
/book-a-meeting,https://international-surrogacy.com/book-a-meeting,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,22.1,up
/blog/what-is-gestational-surrogacy,https://international-surrogacy.com/blog/what-is-gestational-surrogacy,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,22.0,up
/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,https://international-surrogacy.com/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,0.0,0.0,148.0,142.0,6.0,2.0,2.0,0.0,0.0,6.0,4.0,2.0,21.8,up
