normalized_page_path,normalized_page_url,inspection_verdict,inspection_coverage_state,inspection_indexing_state,inspection_page_fetch_state,inspection_robots_txt_state,inspection_google_canonical,inspection_user_canonical,inspection_last_crawl_time,inspection_error_message,has_issue,issue_types,recommended_action,recommended_action_text,source_type
/blog/delivering-dreams-surrogacy-media-coverage,https://international-surrogacy.com/blog/delivering-dreams-surrogacy-media-coverage,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/dna-test-to-show-the-child,https://international-surrogacy.com/blog/dna-test-to-show-the-child,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/dna-test-to-show-the-child,https://international-surrogacy.com/blog/dna-test-to-show-the-child,2026-02-13T07:14:25Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/female-infertility,https://international-surrogacy.com/blog/female-infertility,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/female-infertility,https://international-surrogacy.com/blog/female-infertility,2026-02-06T15:38:32Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/fertility-in-the-workplace,https://international-surrogacy.com/blog/fertility-in-the-workplace,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/fertility-in-the-workplace,https://international-surrogacy.com/blog/fertility-in-the-workplace,2026-02-06T21:50:11Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/fertility-treatments-48,https://international-surrogacy.com/blog/fertility-treatments-48,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/fertility-treatments-48,https://international-surrogacy.com/blog/fertility-treatments-48,2026-02-13T08:35:14Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/first-human-eggs-grown-in-laboratory,https://international-surrogacy.com/blog/first-human-eggs-grown-in-laboratory,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/first-human-eggs-grown-in-laboratory,https://international-surrogacy.com/blog/first-human-eggs-grown-in-laboratory,2026-02-20T22:21:09Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/foods-that-increase-your-fertility,https://international-surrogacy.com/blog/foods-that-increase-your-fertility,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/foods-that-increase-your-fertility,https://international-surrogacy.com/blog/foods-that-increase-your-fertility,2026-02-24T14:32:16Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/frozen-vr-fresh,https://international-surrogacy.com/blog/frozen-vr-fresh,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/frozen-vr-fresh,https://international-surrogacy.com/blog/frozen-vr-fresh,2026-01-20T03:23:13Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/genetic-screening,https://international-surrogacy.com/blog/genetic-screening,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/genetic-screening,https://international-surrogacy.com/blog/genetic-screening,2026-02-13T05:05:46Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/here-s-everything-lgbt,https://international-surrogacy.com/blog/here-s-everything-lgbt,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/here-s-everything-lgbt,https://international-surrogacy.com/blog/here-s-everything-lgbt,2026-03-03T17:29:13Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/holiday-season,https://international-surrogacy.com/blog/holiday-season,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/holiday-season,https://international-surrogacy.com/blog/holiday-season,2026-02-19T06:14:01Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/how-long-does-ukrainian-surrogacy-take,https://international-surrogacy.com/blog/how-long-does-ukrainian-surrogacy-take,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/how-long-does-ukrainian-surrogacy-take,https://international-surrogacy.com/blog/how-long-does-ukrainian-surrogacy-take,2026-03-10T11:03:14Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/information-webinar,https://international-surrogacy.com/blog/information-webinar,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/information-webinar,https://international-surrogacy.com/blog/information-webinar,2025-12-27T19:37:12Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/ireland-pr-bringing-the-opportunity-for-surrogacy-in-ukraine-to-irish-couples,https://international-surrogacy.com/blog/ireland-pr-bringing-the-opportunity-for-surrogacy-in-ukraine-to-irish-couples,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/ireland-pr-bringing-the-opportunity-for-surrogacy-in-ukraine-to-irish-couples,https://international-surrogacy.com/blog/ireland-pr-bringing-the-opportunity-for-surrogacy-in-ukraine-to-irish-couples,2026-02-12T16:36:00Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/legal-qualifications,https://international-surrogacy.com/blog/legal-qualifications,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/legal-qualifications,https://international-surrogacy.com/blog/legal-qualifications,2026-02-20T12:11:47Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/living-with-endometriosis-insights-into-treatment-pregnancy-and-surrogacy,https://international-surrogacy.com/blog/living-with-endometriosis-insights-into-treatment-pregnancy-and-surrogacy,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/living-with-endometriosis-insights-into-treatment-pregnancy-and-surrogacy,https://international-surrogacy.com/blog/living-with-endometriosis-insights-into-treatment-pregnancy-and-surrogacy,2026-03-13T12:45:00Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/medical-care-during-pregnancy,https://international-surrogacy.com/blog/medical-care-during-pregnancy,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/medical-care-during-pregnancy,https://international-surrogacy.com/blog/medical-care-during-pregnancy,2026-03-06T16:30:04Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/naomi-campbell-embraces-the-joy-of-surrogacy-welcomes-baby-boy-into-her-life,https://international-surrogacy.com/blog/naomi-campbell-embraces-the-joy-of-surrogacy-welcomes-baby-boy-into-her-life,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/naomi-campbell-embraces-the-joy-of-surrogacy-welcomes-baby-boy-into-her-life,https://international-surrogacy.com/blog/naomi-campbell-embraces-the-joy-of-surrogacy-welcomes-baby-boy-into-her-life,2026-02-10T21:47:25Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
