country,clicks,impressions,ctr,position
mkd,0.0,54.0,0.0,9.981481481481481
mli,0.0,2.0,0.0,5.5
mlt,0.0,52.0,0.0,7.0576923076923075
mmr,0.0,35.0,0.0,13.714285714285714
mne,0.0,22.0,0.0,13.909090909090908
mng,0.0,24.0,0.0,11.625
mnp,0.0,2.0,0.0,1.0
moz,0.0,33.0,0.0,6.484848484848484
mrt,0.0,4.0,0.0,26.0
mtq,0.0,4.0,0.0,7.25
mus,0.0,38.0,0.0,9.710526315789474
myt,0.0,1.0,0.0,29.0
nam,0.0,27.0,0.0,6.666666666666667
ncl,0.0,2.0,0.0,7.5
ner,0.0,2.0,0.0,14.5
nic,0.0,26.0,0.0,7.538461538461538
npl,0.0,151.0,0.0,9.516556291390728
nru,0.0,1.0,0.0,13.0
png,0.0,19.0,0.0,4.894736842105264
pse,0.0,35.0,0.0,7.9714285714285715
pyf,0.0,2.0,0.0,11.5
qat,0.0,75.0,0.0,9.093333333333334
reu,0.0,5.0,0.0,5.4
rwa,0.0,26.0,0.0,4.538461538461538
sdn,0.0,10.0,0.0,8.1
sen,0.0,27.0,0.0,11.407407407407407
slb,0.0,1.0,0.0,7.0
sle,0.0,8.0,0.0,7.875
slv,0.0,44.0,0.0,9.136363636363637
smr,0.0,1.0,0.0,1.0
som,0.0,11.0,0.0,10.363636363636363
srb,0.0,164.0,0.0,7.926829268292683
ssd,0.0,5.0,0.0,7.0
sur,0.0,7.0,0.0,2.571428571428571
svk,0.0,117.0,0.0,8.692307692307693
svn,0.0,79.0,0.0,8.658227848101266
swz,0.0,11.0,0.0,5.909090909090909
sxm,0.0,4.0,0.0,10.75
syc,0.0,49.0,0.0,9.36734693877551
syr,0.0,39.0,0.0,8.333333333333332
tca,0.0,7.0,0.0,5.428571428571429
tcd,0.0,1.0,0.0,25.0
tgo,0.0,5.0,0.0,31.6
tjk,0.0,3.0,0.0,8.0
tza,0.0,80.0,0.0,7.325
uzb,0.0,56.0,0.0,8.589285714285715
vct,0.0,2.0,0.0,1.5
vgb,0.0,7.0,0.0,7.571428571428571
vir,0.0,13.0,0.0,7.538461538461538
vnm,0.0,685.0,0.0,15.143065693430657
vut,0.0,3.0,0.0,6.333333333333333
wsm,0.0,2.0,0.0,6.5
xkk,0.0,12.0,0.0,10.5
yem,0.0,9.0,0.0,2.5555555555555554
zmb,0.0,63.0,0.0,5.650793650793651
zzz,0.0,30.0,0.0,11.233333333333333
