date_range,landing_page_plus_query_string,landing_page_plus_query_string_original,normalized_page_url,normalized_page_path,sessions,engaged_sessions,conversions
previous_28_days,https://international-surrogacy.com/surrogacy/surrogates,/surrogacy/surrogates,https://international-surrogacy.com/surrogacy/surrogates,/surrogacy/surrogates,5.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,https://international-surrogacy.com/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,/blog/average-weight-and-growth-chart-for-babies-toddlers-and-kids,4.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=pt&_x_tr_hl=pt&_x_tr_pto=tc,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,4.0,4.0,0.0
previous_28_days,https://international-surrogacy.com/blog/how-can-i-know-the-sex-of-my-future-baby,/blog/how-can-i-know-the-sex-of-my-future-baby,https://international-surrogacy.com/blog/how-can-i-know-the-sex-of-my-future-baby,/blog/how-can-i-know-the-sex-of-my-future-baby,4.0,2.0,1.0
previous_28_days,https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,https://international-surrogacy.com/blog/jimmy-fallon,/blog/jimmy-fallon,4.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/kristen-wiig,/blog/kristen-wiig,https://international-surrogacy.com/blog/kristen-wiig,/blog/kristen-wiig,4.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/neil-patrick-harris,/blog/neil-patrick-harris,https://international-surrogacy.com/blog/neil-patrick-harris,/blog/neil-patrick-harris,4.0,4.0,0.0
previous_28_days,https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,https://international-surrogacy.com/blog/surrogacy-and-ivf-in-islam,/blog/surrogacy-and-ivf-in-islam,4.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/the-hidden-costs-of-surrogacy,/blog/the-hidden-costs-of-surrogacy,https://international-surrogacy.com/blog/the-hidden-costs-of-surrogacy,/blog/the-hidden-costs-of-surrogacy,4.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/vs-single-embryo-transfers,/blog/vs-single-embryo-transfers,https://international-surrogacy.com/blog/vs-single-embryo-transfers,/blog/vs-single-embryo-transfers,4.0,3.0,2.0
previous_28_days,https://international-surrogacy.com/blog/will-my-baby-look-like-me-using-donor-eggs,/blog/will-my-baby-look-like-me-using-donor-eggs,https://international-surrogacy.com/blog/will-my-baby-look-like-me-using-donor-eggs,/blog/will-my-baby-look-like-me-using-donor-eggs,4.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/surrogacy/donors,/surrogacy/donors,https://international-surrogacy.com/surrogacy/donors,/surrogacy/donors,4.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/test-page,/test-page,https://international-surrogacy.com/test-page,/test-page,4.0,2.0,2.0
previous_28_days,https://international-surrogacy.com/us/surrogacy-law-in-ukraine,/us/surrogacy-law-in-ukraine,https://international-surrogacy.com/us/surrogacy-law-in-ukraine,/us/surrogacy-law-in-ukraine,4.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/ai-assistant,/ai-assistant,https://international-surrogacy.com/ai-assistant,/ai-assistant,3.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,/blog/10-reasons-people-use-a-surrogate-mother,https://international-surrogacy.com/blog/10-reasons-people-use-a-surrogate-mother,/blog/10-reasons-people-use-a-surrogate-mother,3.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/agency-or-clinic,/blog/agency-or-clinic,https://international-surrogacy.com/blog/agency-or-clinic,/blog/agency-or-clinic,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/amy-smart-carter-oosterhouse,/blog/amy-smart-carter-oosterhouse,https://international-surrogacy.com/blog/amy-smart-carter-oosterhouse,/blog/amy-smart-carter-oosterhouse,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/ethical-considerations-in-surrogacy,/blog/ethical-considerations-in-surrogacy,https://international-surrogacy.com/blog/ethical-considerations-in-surrogacy,/blog/ethical-considerations-in-surrogacy,3.0,3.0,0.0
previous_28_days,https://international-surrogacy.com/blog/infertility-after-abortion,/blog/infertility-after-abortion,https://international-surrogacy.com/blog/infertility-after-abortion,/blog/infertility-after-abortion,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/ivf-second-opinion,/blog/ivf-second-opinion,https://international-surrogacy.com/blog/ivf-second-opinion,/blog/ivf-second-opinion,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/katie-lee-and-ryan-biegel,/blog/katie-lee-and-ryan-biegel,https://international-surrogacy.com/blog/katie-lee-and-ryan-biegel,/blog/katie-lee-and-ryan-biegel,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,https://international-surrogacy.com/blog/key-supplements-to-enhance-female-fertility,/blog/key-supplements-to-enhance-female-fertility,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/medical-care-during-pregnancy,/blog/medical-care-during-pregnancy,https://international-surrogacy.com/blog/medical-care-during-pregnancy,/blog/medical-care-during-pregnancy,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/natural-birth-vs-cesarean-section-which-path-to-choose,/blog/natural-birth-vs-cesarean-section-which-path-to-choose,https://international-surrogacy.com/blog/natural-birth-vs-cesarean-section-which-path-to-choose,/blog/natural-birth-vs-cesarean-section-which-path-to-choose,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/petrie-dish,/blog/petrie-dish,https://international-surrogacy.com/blog/petrie-dish,/blog/petrie-dish,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/surrogacy-in-ghana-for-single-men,/blog/surrogacy-in-ghana-for-single-men,https://international-surrogacy.com/blog/surrogacy-in-ghana-for-single-men,/blog/surrogacy-in-ghana-for-single-men,3.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/surrogacy-in-the-united-states-vs-ukraine-a-comparison,/blog/surrogacy-in-the-united-states-vs-ukraine-a-comparison,https://international-surrogacy.com/blog/surrogacy-in-the-united-states-vs-ukraine-a-comparison,/blog/surrogacy-in-the-united-states-vs-ukraine-a-comparison,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/the-benefits-of-older-parents,/blog/the-benefits-of-older-parents,https://international-surrogacy.com/blog/the-benefits-of-older-parents,/blog/the-benefits-of-older-parents,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/top-5-tv-shows-exploring-surrogacy,/blog/top-5-tv-shows-exploring-surrogacy,https://international-surrogacy.com/blog/top-5-tv-shows-exploring-surrogacy,/blog/top-5-tv-shows-exploring-surrogacy,3.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/why-are-women-so-mean-to-infertile-women,/blog/why-are-women-so-mean-to-infertile-women,https://international-surrogacy.com/blog/why-are-women-so-mean-to-infertile-women,/blog/why-are-women-so-mean-to-infertile-women,3.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/free-book-thank-you,/free-book-thank-you,https://international-surrogacy.com/free-book-thank-you,/free-book-thank-you,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/mass-media-about-us,/mass-media-about-us,https://international-surrogacy.com/mass-media-about-us,/mass-media-about-us,3.0,0.0,0.0
previous_28_days,https://international-surrogacy.com//checkout,//checkout/,https://international-surrogacy.com//checkout,//checkout,2.0,0.0,0.0
previous_28_days,"https://international-surrogacy.com/blog/%5%43%%32%32https:/calendly.com/delivering_dreams/45min?form%255%2542YesNo5%255D%253DNo,%25%2532%2530I%25%2532%2530need%25%2532%2530to%25%2532%2530learn%25%2532%2530more%2526form%255%2542YesNo%2536%255D%253DI%25E%2532%25%2538%2530%2599m%25%2532%2530still%25%2532%2530in%25%2532%2530the%25%2532%2530research%25%2532%2530phase%2526form%255%2542full_phone%255D%253D1%2526form%255%2542yourEmail%255D%253D1%2526form%255%2542YesNo3%255D%253DNo,%25%2532%2530I%25E%2532%25%2538%2530%2599m%25%2532%2530single%2526form%255%2542conditionalField%255D%253D1%2526%253813%25365e%25381b%25389f1%25309e1%25303c353%2536%2530ffa%25367%25325%253D1%2526%253D1%2526form%255%2542FirstName%255D%253D1%2526form%255%2542Submit%255D%253D1%2526month%253D%2532%2530%25323-%25309%255%2543%25%2532%2532%2526form%255%2542YesNo%2532%255D%253DNot%25%2532%2530sure%25%2532%2530yet%252653ab9db79ca37f%2530%25383%2538%2530ecc%25325%2530b%253849b7d%253D1%2526form=","/blog/%5%43%%32%32https:/calendly.com/delivering_dreams/45min?form%255%2542YesNo5%255D%253DNo,%25%2532%2530I%25%2532%2530need%25%2532%2530to%25%2532%2530learn%25%2532%2530more%2526form%255%2542YesNo%2536%255D%253DI%25E%2532%25%2538%2530%2599m%25%2532%2530still%25%2532%2530in%25%2532%2530the%25%2532%2530research%25%2532%2530phase%2526form%255%2542full_phone%255D%253D1%2526form%255%2542yourEmail%255D%253D1%2526form%255%2542YesNo3%255D%253DNo,%25%2532%2530I%25E%2532%25%2538%2530%2599m%25%2532%2530single%2526form%255%2542conditionalField%255D%253D1%2526%253813%25365e%25381b%25389f1%25309e1%25303c353%2536%2530ffa%25367%25325%253D1%2526%253D1%2526form%255%2542FirstName%255D%253D1%2526form%255%2542Submit%255D%253D1%2526month%253D%2532%2530%25323-%25309%255%2543%25%2532%2532%2526form%255%2542YesNo%2532%255D%253DNot%25%2532%2530sure%25%2532%2530yet%252653ab9db79ca37f%2530%25383%2538%2530ecc%25325%2530b%253849b7d%253D1%2526form=",https://international-surrogacy.com/blog/%5%43%%32%32https:/calendly.com/delivering_dreams/45min,/blog/%5%43%%32%32https:/calendly.com/delivering_dreams/45min,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/28-celebrities,/blog/28-celebrities,https://international-surrogacy.com/blog/28-celebrities,/blog/28-celebrities,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/after-35-years,/blog/after-35-years,https://international-surrogacy.com/blog/after-35-years,/blog/after-35-years,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/blastocyst-grading-basics,/blog/blastocyst-grading-basics,https://international-surrogacy.com/blog/blastocyst-grading-basics,/blog/blastocyst-grading-basics,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/can-we-be-in-the-delivery-room,/blog/can-we-be-in-the-delivery-room,https://international-surrogacy.com/blog/can-we-be-in-the-delivery-room,/blog/can-we-be-in-the-delivery-room,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/celebrity-housewife,/blog/celebrity-housewife,https://international-surrogacy.com/blog/celebrity-housewife,/blog/celebrity-housewife,2.0,1.0,1.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=ar&_x_tr_hl=ar&_x_tr_pto=rq,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=ar&_x_tr_hl=ar&_x_tr_pto=rq,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=sv&_x_tr_hl=sv&_x_tr_pto=rq,/blog/cristiano-ronaldo-296?_x_tr_sl=en&_x_tr_tl=sv&_x_tr_hl=sv&_x_tr_pto=rq,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,2.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/eating-for-two-mastering-the-best-pregnancy-diet,/blog/eating-for-two-mastering-the-best-pregnancy-diet,https://international-surrogacy.com/blog/eating-for-two-mastering-the-best-pregnancy-diet,/blog/eating-for-two-mastering-the-best-pregnancy-diet,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/fresh-or-frozen-eggs,/blog/fresh-or-frozen-eggs,https://international-surrogacy.com/blog/fresh-or-frozen-eggs,/blog/fresh-or-frozen-eggs,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,https://international-surrogacy.com/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,/blog/how-to-select-the-best-embryo-unraveling-the-intricacies-of-ivf-embryo-grading,2.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,https://international-surrogacy.com/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,/blog/it-s-a-boy-chrissy-teigen-and-john-legend-welcome-fourth-child-via-surrogacy,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/love-letter-to-my-future-surrogate,/blog/love-letter-to-my-future-surrogate,https://international-surrogacy.com/blog/love-letter-to-my-future-surrogate,/blog/love-letter-to-my-future-surrogate,2.0,2.0,0.0
previous_28_days,https://international-surrogacy.com/blog/medical-rights-do-ips,/blog/medical-rights-do-ips,https://international-surrogacy.com/blog/medical-rights-do-ips,/blog/medical-rights-do-ips,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/michelle-obama-s-ivf-story,/blog/michelle-obama-s-ivf-story,https://international-surrogacy.com/blog/michelle-obama-s-ivf-story,/blog/michelle-obama-s-ivf-story,2.0,1.0,0.0
previous_28_days,https://international-surrogacy.com/blog/not-belong-to-herself,/blog/not-belong-to-herself,https://international-surrogacy.com/blog/not-belong-to-herself,/blog/not-belong-to-herself,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/only-gestational-surrogacy-is-legal-in-ukraine,/blog/only-gestational-surrogacy-is-legal-in-ukraine,https://international-surrogacy.com/blog/only-gestational-surrogacy-is-legal-in-ukraine,/blog/only-gestational-surrogacy-is-legal-in-ukraine,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/q-a-information-session-friday-march-4,/blog/q-a-information-session-friday-march-4,https://international-surrogacy.com/blog/q-a-information-session-friday-march-4,/blog/q-a-information-session-friday-march-4,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/surrogacy-fraud-in-kenya,/blog/surrogacy-fraud-in-kenya,https://international-surrogacy.com/blog/surrogacy-fraud-in-kenya,/blog/surrogacy-fraud-in-kenya,2.0,0.0,0.0
previous_28_days,https://international-surrogacy.com/blog/surrogate-matching,/blog/surrogate-matching,https://international-surrogacy.com/blog/surrogate-matching,/blog/surrogate-matching,2.0,0.0,0.0
